time fixation s m RnumSeed nSamplesGot qGlobal q0 q1 clineWidth FST
100 0 2.000000E-02 5.000000E-02 737171431 1 4.766000E-01 4.570406E-01 4.963797E-01 2.541997E+01 1.550917E-03
200 0 2.000000E-02 5.000000E-02 737171431 2 4.947000E-01 4.449153E-01 5.436162E-01 1.013162E+01 9.742213E-03
300 0 2.000000E-02 5.000000E-02 737171431 3 5.196000E-01 4.807540E-01 5.590726E-01 1.276836E+01 6.142852E-03
400 0 2.000000E-02 5.000000E-02 737171431 4 4.917000E-01 4.550789E-01 5.274812E-01 1.381172E+01 5.242833E-03
500 0 2.000000E-02 5.000000E-02 737171431 5 5.249000E-01 4.934372E-01 5.548400E-01 1.628592E+01 3.777344E-03
600 0 2.000000E-02 5.000000E-02 737171431 6 5.484000E-01 5.293166E-01 5.670756E-01 2.648378E+01 1.439057E-03
700 0 2.000000E-02 5.000000E-02 737171431 7 4.877000E-01 4.426390E-01 5.347506E-01 1.085639E+01 8.485726E-03
800 0 2.000000E-02 5.000000E-02 737171431 8 4.954000E-01 4.596741E-01 5.298625E-01 1.424738E+01 4.925224E-03
900 0 2.000000E-02 5.000000E-02 737171431 9 4.682000E-01 4.182540E-01 5.189516E-01 9.930719E+00 1.018055E-02
1000 0 2.000000E-02 5.000000E-02 737171431 10 5.303000E-01 5.196675E-01 5.406472E-01 4.766508E+01 4.416893E-04
1100 0 2.000000E-02 5.000000E-02 737171431 11 6.451000E-01 5.995662E-01 6.919643E-01 1.082274E+01 9.320569E-03
1200 0 2.000000E-02 5.000000E-02 737171431 12 6.413000E-01 6.299435E-01 6.524584E-01 4.441510E+01 5.508742E-04
1300 0 2.000000E-02 5.000000E-02 737171431 13 6.007000E-01 5.812896E-01 6.205502E-01 2.547083E+01 1.606359E-03
1400 0 2.000000E-02 5.000000E-02 737171431 14 6.265000E-01 5.963615E-01 6.566627E-01 1.658342E+01 3.884904E-03
1500 0 2.000000E-02 5.000000E-02 737171431 15 6.777000E-01 6.762833E-01 6.791315E-01 3.511042E+02 9.284496E-06
1600 0 2.000000E-02 5.000000E-02 737171431 16 6.093000E-01 5.630269E-01 6.552411E-01 1.084431E+01 8.930088E-03
1700 0 2.000000E-02 5.000000E-02 737171431 17 5.829000E-01 5.713718E-01 5.945674E-01 4.311156E+01 5.532261E-04
1800 0 2.000000E-02 5.000000E-02 737171431 18 5.594000E-01 5.521705E-01 5.666935E-01 6.885629E+01 2.139328E-04
